,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
NC_003743.1,NC_003743.1,131083.0,Turnip yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,"[3726, 3721, 51350, 3716, 3715, 138011, 3709, 3710, 3906, 3900, 3888, 3847, 3827, 3663, 3659, 3654, 3562, 161934, 4081, 4072, 103529, 4236, 4232]","['Raphanus sativus', 'Crambe hispanica subsp. abyssinica', 'Brassica rapa subsp. rapa', 'Brassica oleracea var. capitata', 'Brassica oleracea var. botrytis', 'Brassica napus var. napus', 'Brassica napus subsp. rapifera', 'Brassica nigra', 'Vicia faba', 'Trifolium subterraneum', 'Pisum sativum', 'Glycine max', 'Cicer arietinum', 'Cucurbita pepo', 'Cucumis sativus', 'Citrullus lanatus', 'Spinacia oleracea', 'Beta vulgaris', 'Solanum lycopersicum', 'Capsicum annuum', 'Phlox drummondii', 'Lactuca sativa', 'Helianthus annuus']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003747.2,NC_003747.2,119910.0,Ryegrass mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[4498],['Avena sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004060.2,NC_004060.2,12139.0,Southern bean mosaic virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[3885],['Phaseolus vulgaris'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004346.1,NC_004346.1,12472.0,Subterranean clover mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[3900],['Trifolium subterraneum'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004553.3,NC_004553.3,218923.0,Turnip rosette virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[3711],['Brassica rapa'],Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004756.1,NC_004756.1,12042.0,Beet western yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,"[3712, 3562, 3555, 4236]","['Brassica oleracea', 'Spinacia oleracea', 'Beta vulgaris subsp. vulgaris', 'Lactuca sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_006265.1,NC_006265.1,66200.0,Carrot red leaf virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[79196],['Daucus carota subsp. carota'],Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_010732.1,NC_010732.1,192203.0,Tobacco vein distorting virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4097],['Nicotiana tabacum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
NC_010809.1,NC_010809.1,471717.0,Melon aphid-borne yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[102211],['Benincasa hispida'],Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Benincasa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011187.1,NC_011187.1,378833.0,Sowbane mosaic virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[23216],['Rubus'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011536.1,NC_011536.1,524023.0,Imperata yellow mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[80369],['Imperata cylindrica'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Imperata,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011543.1,NC_011543.1,305785.0,Poinsettia latent virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polemovirus,[37495],['Euphorbia pulcherrima'],Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Biota,Biota,Viridiplantae,,Viridiplantae
NC_012931.1,NC_012931.1,572239.0,Wheat yellow dwarf virus-GPV,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4565],['Triticum aestivum'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014509.2,NC_014509.2,12473.0,Velvet tobacco mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[49454],['Nicotiana velutina'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014545.1,NC_014545.1,312295.0,Cotton leafroll dwarf virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3635],['Gossypium hirsutum'],Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_015050.1,NC_015050.1,909827.0,Pepper vein yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4072],['Capsicum annuum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_016033.1,NC_016033.1,1080798.0,Soybean yellow common mosaic virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[3847],['Glycine max'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Biota,Biota,Viridiplantae,,Viridiplantae
NC_016038.2,NC_016038.2,1046403.0,Brassica yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3709],['Brassica napus subsp. rapifera'],Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Biota,Biota,Viridiplantae,,Viridiplantae
NC_018571.2,NC_018571.2,646010.0,Suakwa aphid-borne yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,"[3670, 3669]","['Luffa aegyptiaca', 'Luffa']",Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_021484.1,NC_021484.1,2170101.0,Maize yellow dwarf virus RMV,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4565],['Triticum aestivum'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_025435.1,NC_025435.1,1564903.0,Strawberry polerovirus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3747],['Fragaria x ananassa'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Biota,Biota,Viridiplantae,,Viridiplantae
NC_025837.1,NC_025837.1,1577997.0,Sauropus yellowing virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[283133],['Sauropus androgynus'],Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Sauropus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_027123.1,NC_027123.1,1602124.0,Cymbidium chlorotic mosaic virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[112607],['Cymbidium goeringii'],Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Cymbidium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_027198.1,NC_027198.1,1432563.0,Rottboellia yellow mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[4577],['Zea mays'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_027703.1,NC_027703.1,1462682.0,Luffa aphid-borne yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[56866],['Luffa acutangula'],Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_028793.2,NC_028793.2,1756832.0,Phasey bean mild yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3827],['Cicer arietinum'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cicer,Biota,Biota,Viridiplantae,,Viridiplantae
NC_029578.1,NC_029578.1,1714570.0,Blueberry shoestring virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[13749],['Vaccinium'],Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_029691.1,NC_029691.1,1809767.0,Ixeridium yellow mottle virus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[190260],['Ixeridium dentatum'],Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ixeridium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_029906.1,NC_029906.1,1825924.0,Barley virus G,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4513],['Hordeum vulgare'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordeum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_029990.1,NC_029990.1,1833824.0,Maize yellow dwarf virus-RMV2,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,"[381124, 4577]","['Zea mays subsp. mays', 'Zea mays']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_029993.1,NC_029993.1,1770265.0,Alfalfa enamovirus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Enamovirus,[3879],['Medicago sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Biota,Biota,Viridiplantae,,Viridiplantae
NC_030225.1,NC_030225.1,1462681.0,Pepo aphid-borne yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,"[3663, 3660]","['Cucurbita pepo', 'Cucurbita']",Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Biota,Biota,Viridiplantae,,Viridiplantae
NC_031747.1,NC_031747.1,1913024.0,White clover mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3899],['Trifolium repens'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_033706.1,NC_033706.1,12471.0,Solanum nodiflorum mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,"[85267, 81866]","['Solanum nodiflorum', 'Nicotiana clevelandii']",Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_034246.1,NC_034246.1,1913124.0,Cowpea polerovirus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3917],['Vigna unguiculata'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Biota,Biota,Viridiplantae,,Viridiplantae
NC_034247.1,NC_034247.1,1913125.0,Cowpea polerovirus 2,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3917],['Vigna unguiculata'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Biota,Biota,Viridiplantae,,Viridiplantae
NC_034265.1,NC_034265.1,1972995.0,Tobacco virus 2,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4097],['Nicotiana tabacum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
NC_034836.1,NC_034836.1,2560515.0,Grapevine enamovirus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Enamovirus,[29760],['Vitis vinifera'],Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_035451.1,NC_035451.1,2019445.0,Wheat leaf yellowing-associated virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4565],['Triticum aestivum'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_036803.1,NC_036803.1,1965355.0,Pepper vein yellows virus 5,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4072],['Capsicum annuum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_037052.1,NC_037052.1,2073163.0,Pepper enamovirus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Enamovirus,[4071],['Capsicum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_055129.1,NC_055129.1,2560636.0,Pepper vein yellows virus 2,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4072],['Capsicum annuum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_055495.1,NC_055495.1,2283388.0,Faba bean polerovirus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3906],['Vicia faba'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Biota,Biota,Viridiplantae,,Viridiplantae
NC_055577.1,NC_055577.1,2607629.0,Physalis rugose mosaic virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[126903],['Physalis peruviana'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Physalis,Biota,Biota,Viridiplantae,,Viridiplantae
MZ443630.1,MZ443630.1,2874436.0,Nelson Sobemo-like virus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Unclassified,[7454],['Vespula vulgaris'],Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Biota,Biota,Invertebrate,,Invertebrate
MZ443604.1,MZ443604.1,2874439.0,Leuven Sobemo-like virus 3,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Unclassified,[7454],['Vespula vulgaris'],Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Biota,Biota,Invertebrate,,Invertebrate
MN725051.1,MN725051.1,2854219.0,Frankliniella occidentalis associated sobemo-like virus 2,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Unclassified,[133901],['Frankliniella occidentalis'],Metazoa,Arthropoda,Insecta,Thysanoptera,Thripidae,Frankliniella,Biota,Biota,Invertebrate,,Invertebrate
MW039375.1,MW039375.1,2803988.0,Soybean thrips sobemo-like virus 10,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Unclassified,[436519],['Neohydatothrips variabilis'],Metazoa,Arthropoda,Insecta,Thysanoptera,Thripidae,Neohydatothrips,Biota,Biota,Invertebrate,,Invertebrate
MT896210.1,MT896210.1,2798294.0,Aedes sobemo-like virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[7159],['Aedes aegypti'],Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Biota,Biota,Invertebrate,,Invertebrate
MW023867.1,MW023867.1,2796569.0,Soybean thrips sobemo-like virus 5,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[436519],['Neohydatothrips variabilis'],Metazoa,Arthropoda,Insecta,Thysanoptera,Thripidae,Neohydatothrips,Biota,Biota,Invertebrate,,Invertebrate
MT334603.1,MT334603.1,2794233.0,Pistacia sobemo-like virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Unclassified,[289741],['Pistacia chinensis'],Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Pistacia,Biota,Biota,Viridiplantae,,Viridiplantae
MT747990.1,MT747990.1,2789422.0,Skokie sobemo-like virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Unclassified,[6954],['Dermatophagoides farinae'],Metazoa,Arthropoda,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,Biota,Biota,Invertebrate,,Invertebrate
MT361057.1,MT361057.1,2778220.0,Guangzhou sobemo-like virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Unclassified,[7160],['Aedes albopictus'],Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Biota,Biota,Invertebrate,,Invertebrate
MN714676.1,MN714676.1,2767261.0,Neohydatothrips associated sobemo-like virus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[436519],['Neohydatothrips variabilis'],Metazoa,Arthropoda,Insecta,Thysanoptera,Thripidae,Neohydatothrips,Biota,Biota,Invertebrate,,Invertebrate
MN982391.1,MN982391.1,2716558.0,Scaphoideus titanus sobemo-like virus 2,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[376741],['Scaphoideus titanus'],Metazoa,Arthropoda,Insecta,Hemiptera,Cicadellidae,Scaphoideus,Biota,Biota,Invertebrate,,Invertebrate
MN982389.1,MN982389.1,2716557.0,Scaphoideus titanus sobemo-like virus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[376741],['Scaphoideus titanus'],Metazoa,Arthropoda,Insecta,Hemiptera,Cicadellidae,Scaphoideus,Biota,Biota,Invertebrate,,Invertebrate
MN167486.1,MN167486.1,2600330.0,Mortimer virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Unclassified,[507101],['Pygiopsylla'],Metazoa,Arthropoda,Insecta,Siphonaptera,Pygiopsyllidae,Pygiopsylla,Biota,Biota,Invertebrate,,Invertebrate
MT757161.1,MT757161.1,2812730.0,Artemisia virus B,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[223870],['Artemisia princeps'],Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Biota,Biota,Viridiplantae,,Viridiplantae
MT008025.1,MT008025.1,2696999.0,Grapevine polerovirus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[29760],['Vitis vinifera'],Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Biota,Biota,Viridiplantae,,Viridiplantae
MN204612.1,MN204612.1,2653665.0,Ornithogalum virus 5,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[82017],['Ornithogalum thyrsoides'],Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Hyacinthaceae,Ornithogalum,Biota,Biota,Viridiplantae,,Viridiplantae
KY985463.1,KY985463.1,1986190.0,Alfalfa enamovirus 2,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Enamovirus,[3879],['Medicago sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Biota,Biota,Viridiplantae,,Viridiplantae
OP122168.1,OP122168.1,2977935.0,Mallotus japonicus virus A,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[29747],['Mallotus japonicus'],Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mallotus,Biota,Biota,Viridiplantae,,Viridiplantae
MZ172962.1,MZ172962.1,31744.0,Rice yellow mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
MW349137.1,MW349137.1,12042.0,Beet western yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[40321],['Capsicum annuum var. annuum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Biota,Biota,Viridiplantae,,Viridiplantae
OL471344.1,OL471344.1,2919398.0,Pterostylis polerovirus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[78843],['Pterostylis nutans'],Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Pterostylis,Biota,Biota,Viridiplantae,,Viridiplantae
