,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
NC_007523.1,NC_007523.1,210827.0,Coniothyrium minitans RNA virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[565426],['Paraphaeosphaeria minitans'],Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,Biota,Biota,Fungi,,Fungi
NC_007539.1,NC_007539.1,158372.0,Penicillium chrysogenum virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,[5076],['Penicillium chrysogenum'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Biota,Biota,Fungi,,Fungi
NC_007540.1,NC_007540.1,158372.0,Penicillium chrysogenum virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,[5076],['Penicillium chrysogenum'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Biota,Biota,Fungi,,Fungi
NC_007541.1,NC_007541.1,158372.0,Penicillium chrysogenum virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,[5076],['Penicillium chrysogenum'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Biota,Biota,Fungi,,Fungi
NC_007542.1,NC_007542.1,158372.0,Penicillium chrysogenum virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,[5076],['Penicillium chrysogenum'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Biota,Biota,Fungi,,Fungi
NC_009224.1,NC_009224.1,425009.0,Botryotinia fuckeliana totivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Totivirus,[40559],['Botrytis cinerea'],Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Biota,Biota,Fungi,,Fungi
NC_009890.1,NC_009890.1,463392.0,Black raspberry virus F,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Totivirus,[75079],['Rubus occidentalis'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_010246.1,NC_010246.1,441999.0,Magnaporthe oryzae virus 2,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_010989.1,NC_010989.1,483537.0,Alternaria alternata virus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Alternaviridae,Alternavirus,[5599],['Alternaria alternata'],Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Biota,Biota,Fungi,,Fungi
NC_010991.1,NC_010991.1,483537.0,Alternaria alternata virus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Alternaviridae,Alternavirus,[5599],['Alternaria alternata'],Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Biota,Biota,Fungi,,Fungi
NC_013462.1,NC_013462.1,658904.0,Rosellinia necatrix megabirnavirus 1/W779,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Megabirnaviridae,Megabirnavirus,[77044],['Rosellinia necatrix'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Biota,Biota,Fungi,,Fungi
NC_013463.1,NC_013463.1,658904.0,Rosellinia necatrix megabirnavirus 1/W779,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Megabirnaviridae,Megabirnavirus,[77044],['Rosellinia necatrix'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Biota,Biota,Fungi,,Fungi
NC_013499.1,NC_013499.1,663282.0,Drosophila melanogaster totivirus SW-2009a,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[7227],['Drosophila melanogaster'],Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Biota,Biota,Invertebrate,,Invertebrate
NC_013999.1,NC_013999.1,349681.0,Phlebiopsis gigantea mycovirus dsRNA 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[82310],['Phlebiopsis gigantea'],Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phlebiopsis,Biota,Biota,Fungi,,Fungi
NC_014462.1,NC_014462.1,764348.0,Magnaporthe oryzae chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Chrysovirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_014463.1,NC_014463.1,764348.0,Magnaporthe oryzae chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Chrysovirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_014464.1,NC_014464.1,764348.0,Magnaporthe oryzae chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Chrysovirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_014465.1,NC_014465.1,764348.0,Magnaporthe oryzae chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Chrysovirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_014823.1,NC_014823.1,939923.0,Tolypocladium cylindrosporum virus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[38005],['Tolypocladium cylindrosporum'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,Biota,Biota,Fungi,,Fungi
NC_016757.1,NC_016757.1,1000373.0,Rosellinia necatrix quadrivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Quadriviridae,Quadrivirus,[77044],['Rosellinia necatrix'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Biota,Biota,Fungi,,Fungi
NC_016758.1,NC_016758.1,1000373.0,Rosellinia necatrix quadrivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Quadriviridae,Quadrivirus,[77044],['Rosellinia necatrix'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Biota,Biota,Fungi,,Fungi
NC_016759.1,NC_016759.1,1000373.0,Rosellinia necatrix quadrivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Quadriviridae,Quadrivirus,[77044],['Rosellinia necatrix'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Biota,Biota,Fungi,,Fungi
NC_016760.1,NC_016760.1,1000373.0,Rosellinia necatrix quadrivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Quadriviridae,Quadrivirus,[77044],['Rosellinia necatrix'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Biota,Biota,Fungi,,Fungi
NC_020100.1,NC_020100.1,1087068.0,Aspergillus foetidus dsRNA mycovirus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Alternaviridae,Alternavirus,[63131],['Aspergillus foetidus'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Biota,Biota,Fungi,,Fungi
NC_020101.1,NC_020101.1,1087068.0,Aspergillus foetidus dsRNA mycovirus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Alternaviridae,Alternavirus,[63131],['Aspergillus foetidus'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Biota,Biota,Fungi,,Fungi
NC_020102.1,NC_020102.1,1087068.0,Aspergillus foetidus dsRNA mycovirus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Alternaviridae,Alternavirus,[63131],['Aspergillus foetidus'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Biota,Biota,Fungi,,Fungi
NC_020903.1,NC_020903.1,1167690.0,Xanthophyllomyces dendrorhous virus L1A,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Totivirus,[264483],['Phaffia rhodozyma'],Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Phaffia,Biota,Biota,Fungi,,Fungi
NC_020997.1,NC_020997.1,1312445.0,Ustilaginoidea virens RNA virus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[1159556],['Ustilaginoidea virens'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Ustilaginoidea,Biota,Biota,Fungi,,Fungi
NC_021565.1,NC_021565.1,1148491.0,Rosellinia necatrix victorivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[77044],['Rosellinia necatrix'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Biota,Biota,Fungi,,Fungi
NC_023039.1,NC_023039.1,764348.0,Magnaporthe oryzae chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Chrysovirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_023041.1,NC_023041.1,764348.0,Magnaporthe oryzae chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Chrysovirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_023042.1,NC_023042.1,764348.0,Magnaporthe oryzae chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Chrysovirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_023547.1,NC_023547.1,1460374.0,Ustilaginoidea virens RNA virus 3,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[1159556],['Ustilaginoidea virens'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Ustilaginoidea,Biota,Biota,Fungi,,Fungi
NC_024151.1,NC_024151.1,1485922.0,Beauveria bassiana victorivirus NZL/1980,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[176275],['Beauveria bassiana'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Biota,Biota,Fungi,,Fungi
NC_025214.1,NC_025214.1,1547580.0,Botryosphaeria dothidea victorivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[55169],['Botryosphaeria dothidea'],Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,Biota,Biota,Fungi,,Fungi
NC_025218.2,NC_025218.2,1353795.0,Leptopilina boulardi Toti-like virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[63433],['Leptopilina boulardi'],Metazoa,Arthropoda,Insecta,Hymenoptera,Figitidae,Leptopilina,Biota,Biota,Invertebrate,,Invertebrate
NC_025366.1,NC_025366.1,1561171.0,Ustilaginoidea virens RNA virus L,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[1159556],['Ustilaginoidea virens'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Ustilaginoidea,Biota,Biota,Fungi,,Fungi
NC_026135.1,NC_026135.1,1580605.0,Phomopsis vexans RNA virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[1303515],['Diaporthe vexans'],Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Biota,Biota,Fungi,,Fungi
NC_027209.1,NC_027209.1,1661396.0,Magnaporthe oryzae virus 3,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
NC_027212.1,NC_027212.1,1608533.0,Camponotus yamaokai virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[606275],['Camponotus yamaokai'],Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Biota,Biota,Invertebrate,,Invertebrate
NC_027221.1,NC_027221.1,1661257.0,Sclerotinia sclerotiorum megabirnavirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Megabirnaviridae,Megabirnavirus,[5180],['Sclerotinia sclerotiorum'],Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Biota,Biota,Fungi,,Fungi
NC_027222.1,NC_027222.1,1661257.0,Sclerotinia sclerotiorum megabirnavirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Megabirnaviridae,Megabirnavirus,[5180],['Sclerotinia sclerotiorum'],Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Biota,Biota,Fungi,,Fungi
NC_027563.1,NC_027563.1,1679238.0,Fusarium oxysporum f. sp. dianthi mycovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Betachrysovirus,[42551],['Fusarium oxysporum f. sp. dianthi'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Biota,Biota,Fungi,,Fungi
NC_027564.1,NC_027564.1,1679238.0,Fusarium oxysporum f. sp. dianthi mycovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Betachrysovirus,[42551],['Fusarium oxysporum f. sp. dianthi'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Biota,Biota,Fungi,,Fungi
NC_027565.1,NC_027565.1,1679238.0,Fusarium oxysporum f. sp. dianthi mycovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Betachrysovirus,[42551],['Fusarium oxysporum f. sp. dianthi'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Biota,Biota,Fungi,,Fungi
NC_027566.1,NC_027566.1,1679238.0,Fusarium oxysporum f. sp. dianthi mycovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Betachrysovirus,[42551],['Fusarium oxysporum f. sp. dianthi'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Biota,Biota,Fungi,,Fungi
NC_028044.1,NC_028044.1,1729670.0,Maize-associated totivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[4577],['Zea mays'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_028378.1,NC_028378.1,1497848.0,Papaya meleira virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[3649],['Carica papaya'],Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,Biota,Biota,Viridiplantae,,Viridiplantae
NC_028477.1,NC_028477.1,1756615.0,Ustilaginoidea virens RNA virus 5,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[1159556],['Ustilaginoidea virens'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Ustilaginoidea,Biota,Biota,Fungi,,Fungi
NC_028480.1,NC_028480.1,1714362.0,Red clover powdery mildew-associated totivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[1486407],['Erysiphe trifoliorum'],Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Biota,Biota,Fungi,,Fungi
NC_028483.1,NC_028483.1,1714364.0,Red clover powdery mildew-associated totivirus 3,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[1486407],['Erysiphe trifoliorum'],Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Biota,Biota,Fungi,,Fungi
NC_028485.1,NC_028485.1,1714366.0,Red clover powdery mildew-associated totivirus 5,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[1486407],['Erysiphe trifoliorum'],Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Biota,Biota,Fungi,,Fungi
NC_028486.1,NC_028486.1,1714367.0,Red clover powdery mildew-associated totivirus 6,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[1486407],['Erysiphe trifoliorum'],Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Biota,Biota,Fungi,,Fungi
NC_028488.1,NC_028488.1,1714368.0,Red clover powdery mildew-associated totivirus 7,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[1486407],['Erysiphe trifoliorum'],Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Biota,Biota,Fungi,,Fungi
NC_028495.1,NC_028495.1,1755792.0,Penicillium janczewskii chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Betachrysovirus,[121612],['Penicillium janczewskii'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Biota,Biota,Fungi,,Fungi
NC_028496.1,NC_028496.1,1755792.0,Penicillium janczewskii chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Betachrysovirus,[121612],['Penicillium janczewskii'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Biota,Biota,Fungi,,Fungi
NC_028500.1,NC_028500.1,1755792.0,Penicillium janczewskii chrysovirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Betachrysovirus,[121612],['Penicillium janczewskii'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Biota,Biota,Fungi,,Fungi
NC_028921.1,NC_028921.1,1770613.0,Thelephora terrestris virus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[56493],['Thelephora terrestris'],Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Biota,Biota,Fungi,,Fungi
NC_029096.1,NC_029096.1,1777016.0,Panax notoginseng virus A,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[44586],['Panax notoginseng'],Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Panax,Biota,Biota,Viridiplantae,,Viridiplantae
NC_029125.1,NC_029125.1,1676267.0,Rosellinia necatrix megabirnavirus 2-W8,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Megabirnaviridae,Megabirnavirus,[77044],['Rosellinia necatrix'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Biota,Biota,Fungi,,Fungi
NC_029312.1,NC_029312.1,1765754.0,Camponotus nipponicus virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[2681982],['Colobopsis nipponica'],Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Colobopsis,Biota,Biota,Invertebrate,,Invertebrate
NC_029989.1,NC_029989.1,1833938.0,Penicillium digitatum virus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[36651],['Penicillium digitatum'],Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Biota,Biota,Fungi,,Fungi
NC_030224.1,NC_030224.1,1765736.0,Nigrospora oryzae victorivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[335854],['Nigrospora oryzae'],Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Nigrospora,Biota,Biota,Fungi,,Fungi
NC_030392.1,NC_030392.1,1859161.0,Sclerotinia nivalis victorivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[352851],['Sclerotinia nivalis'],Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Biota,Biota,Fungi,,Fungi
NC_030398.2,NC_030398.2,1874267.0,Maize-associated totivirus 2,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Unclassified,[4577],['Zea mays'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_030867.1,NC_030867.1,1849535.0,Fusarium poae victorivirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[36050],['Fusarium poae'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Biota,Biota,Fungi,,Fungi
NC_030881.1,NC_030881.1,1849539.0,Fusarium poae alternavirus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Alternaviridae,Alternavirus,[36050],['Fusarium poae'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Biota,Biota,Fungi,,Fungi
