,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
NC_001777.1,NC_001777.1,12055.0,Tobacco necrosis virus A,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphanecrovirus,"[13306, 3885, 3659, 63459, 66262, 4097, 81866]","['Tulipa gesneriana', 'Phaseolus vulgaris', 'Cucumis sativus', 'Chenopodium quinoa', 'Chenopodium amaranticolor', 'Nicotiana tabacum', 'Nicotiana clevelandii']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001818.1,NC_001818.1,60714.0,Galinsoga mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Gallantivirus,"[4097, 176602]","['Nicotiana tabacum', 'Galinsoga parviflora']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001822.1,NC_001822.1,45224.0,Leek white stripe virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Betanecrovirus,[4681],['Allium ampeloprasum'],Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002160.2,NC_002160.2,2169985.0,Barley yellow dwarf virus PAS,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,[4513],['Hordeum vulgare'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordeum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002187.1,NC_002187.1,77344.0,Japanese iris necrotic ring virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Betacarmovirus,[34213],['Iris ensata'],Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002598.1,NC_002598.1,40279.0,Panicum mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Panicovirus,"[38727, 58090]","['Panicum virgatum', 'Muhlenbergia']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003056.1,NC_003056.1,12049.0,Soybean dwarf virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,[3847],['Glycine max'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003369.1,NC_003369.1,12041.0,Bean leafroll virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,"[3906, 3879, 3864, 3827]","['Vicia faba', 'Medicago sativa', 'Lens culinaris', 'Cicer arietinum']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003500.3,NC_003500.3,39443.0,Carnation Italian ringspot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,[3570],['Dianthus caryophyllus'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003530.1,NC_003530.1,12268.0,Carnation ringspot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Dianthovirus,"[3570, 278075]","['Dianthus caryophyllus', 'Dianthus barbatus']",Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003531.1,NC_003531.1,12268.0,Carnation ringspot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Dianthovirus,"[3570, 278075]","['Dianthus caryophyllus', 'Dianthus barbatus']",Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003532.1,NC_003532.1,12144.0,Cymbidium ringspot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,"[14366, 81866, 4100]","['Cymbidium', 'Nicotiana clevelandii', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003603.1,NC_003603.1,47740.0,Groundnut rosette virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,"[3917, 3885, 3879, 35936, 43365, 3818, 3817]","['Vigna unguiculata', 'Phaseolus vulgaris', 'Medicago sativa', 'Lablab purpureus', 'Clitoria', 'Arachis hypogaea', 'Arachis']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003608.1,NC_003608.1,53181.0,Hibiscus chlorotic ringspot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Betacarmovirus,"[229543, 47605]","['Hibiscus cannabinus', 'Hibiscus']",Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003756.1,NC_003756.1,12267.0,Red clover necrotic mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Dianthovirus,"[3899, 57577, 47083, 3879]","['Trifolium repens', 'Trifolium pratense', 'Melilotus officinalis', 'Medicago sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003775.1,NC_003775.1,12267.0,Red clover necrotic mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Dianthovirus,"[3899, 57577, 47083, 3879]","['Trifolium repens', 'Trifolium pratense', 'Melilotus officinalis', 'Medicago sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003806.1,NC_003806.1,28348.0,Sweet clover necrotic mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Dianthovirus,"[3906, 57577, 47081]","['Vicia faba', 'Trifolium pratense', 'Melilotus']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003807.1,NC_003807.1,28348.0,Sweet clover necrotic mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Dianthovirus,"[3906, 57577, 47081]","['Vicia faba', 'Trifolium pratense', 'Melilotus']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003853.1,NC_003853.1,193120.0,Pea enation mosaic virus 2,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,"[3906, 60916, 3888, 63459, 66262, 3559, 81866]","['Vicia faba', 'Trifolium incarnatum', 'Pisum sativum', 'Chenopodium quinoa', 'Chenopodium amaranticolor', 'Chenopodium album', 'Nicotiana clevelandii']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004366.1,NC_004366.1,184020.0,Tobacco bushy top virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,[4097],['Nicotiana tabacum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004452.3,NC_004452.3,196375.0,Beet black scorch virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Betanecrovirus,"[63459, 66262, 46091, 3562, 3555, 45318, 300354, 4236]","['Chenopodium quinoa', 'Chenopodium amaranticolor', 'Chenopodiastrum murale', 'Spinacia oleracea', 'Beta vulgaris subsp. vulgaris', 'Tetragonia tetragonoides', 'Physalis pubescens', 'Lactuca sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004666.1,NC_004666.1,224578.0,Barley yellow dwarf virus GAV,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,[4498],['Avena sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004725.1,NC_004725.1,2560401.0,Cucumber Bulgarian latent virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,"[869827, 3659]","['Cucumis sativus var. sativus', 'Cucumis sativus']",Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004750.1,NC_004750.1,2169986.0,Barley yellow dwarf virus PAV,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,"[4577, 4565, 4550, 4513, 4522, 4521, 4498, 146531, 4530]","['Zea mays', 'Triticum aestivum', 'Secale cereale', 'Hordeum vulgare', 'Lolium perenne', 'Lolium multiflorum', 'Avena sativa', 'Avena byzantina', 'Oryza sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_005285.1,NC_005285.1,255587.0,Pelargonium necrotic spot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,[4032],['Pelargonium zonale'],Viridiplantae,Streptophyta,Magnoliopsida,Geraniales,Geraniaceae,Pelargonium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_005286.1,NC_005286.1,35291.0,Pelargonium flower break virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphacarmovirus,"[4032, 63459]","['Pelargonium zonale', 'Chenopodium quinoa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_005287.1,NC_005287.1,229149.0,Johnsongrass chlorotic stripe mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Aureusvirus,[4560],['Sorghum halepense'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_005985.1,NC_005985.1,167021.0,Pelargonium chlorotic ring pattern virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Pelarspovirus,[4031],['Pelargonium x hortorum'],Viridiplantae,Streptophyta,Magnoliopsida,Geraniales,Geraniaceae,Pelargonium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_006939.1,NC_006939.1,295090.0,Olive mild mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphanecrovirus,[4146],['Olea europaea'],Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_007729.1,NC_007729.1,137556.0,Maize necrotic streak virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Zeavirus,[4577],['Zea mays'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_007733.2,NC_007733.2,352882.0,Angelonia flower break virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphacarmovirus,[258236],['Angelonia angustifolia'],Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Angelonia,Biota,Biota,Viridiplantae,,Viridiplantae
NC_009017.1,NC_009017.1,283876.0,Nootka lupine vein clearing virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphacarmovirus,[53234],['Lupinus nootkatensis'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_009533.1,NC_009533.1,445227.0,Maize white line mosaic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Aureusvirus,"[381124, 4577]","['Zea mays subsp. mays', 'Zea mays']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_010806.1,NC_010806.1,474454.0,Rose spring dwarf-associated virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,"[3764, 4447, 71240]","['Rosa', 'Liliopsida', 'eudicotyledons']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011515.1,NC_011515.1,68033.0,Carrot mottle virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,"[4100, 4039]","['Nicotiana benthamiana', 'Daucus carota']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011535.1,NC_011535.1,208084.0,Grapevine Algerian latent virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,[115667],['Solanum mammosum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014126.1,NC_014126.1,213633.0,Providence virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Carmotetraviridae,Alphacarmotetravirus,[7113],['Helicoverpa zea'],Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Helicoverpa,Biota,Biota,Invertebrate,,Invertebrate
NC_014967.1,NC_014967.1,943272.0,Honeysuckle ringspot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphacarmovirus,"[49606, 4200]","['Lonicera', 'Caprifoliaceae']",Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_020415.1,NC_020415.1,535898.0,Rosa rugosa leaf distortion virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Pelarspovirus,[74645],['Rosa rugosa'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_020469.1,NC_020469.1,676234.0,Furcraea necrotic streak virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Macanavirus,[39538],['Furcraea'],Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Furcraea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_021481.1,NC_021481.1,2169987.0,Barley yellow dwarf virus kerII,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,[568969],['Poa cookii'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_021926.1,NC_021926.1,204928.0,Calibrachoa mottle virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphacarmovirus,"[63459, 66262, 669655, 323105, 81866, 4100]","['Chenopodium quinoa', 'Chenopodium amaranticolor', 'Blitum capitatum', 'Calibrachoa', 'Nicotiana clevelandii', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_022895.1,NC_022895.1,1421055.0,Yam spherical virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Aureusvirus,[55577],['Dioscorea cayenensis subsp. rotundata'],Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Biota,Biota,Viridiplantae,,Viridiplantae
NC_023339.1,NC_023339.1,270256.0,Eggplant mottled crinkle virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,[4111],['Solanum melongena'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_024808.1,NC_024808.1,1538549.0,Ethiopian tobacco bushy top virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,[4100],['Nicotiana benthamiana'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
NC_026239.1,NC_026239.1,167018.0,Elderberry latent virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Pelarspovirus,[63459],['Chenopodium quinoa'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Chenopodium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_026240.1,NC_026240.1,167020.0,Pelargonium ringspot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Pelarspovirus,"[4030, 63459]","['Pelargonium', 'Chenopodium quinoa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_027211.1,NC_027211.1,2560614.0,Nectarine stem pitting associated virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,[3760],['Prunus persica'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_030203.1,NC_030203.1,1435450.0,Sclerotinia sclerotiorum umbra-like virus 1,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,[5180],['Sclerotinia sclerotiorum'],Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Biota,Biota,Fungi,,Fungi
NC_030452.1,NC_030452.1,35280.0,Pelargonium leaf curl virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,[93697],['Tulipa fosteriana'],Viridiplantae,Streptophyta,Magnoliopsida,Liliales,Liliaceae,Tulipa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_030742.1,NC_030742.1,1884832.0,Gompholobium virus A,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tralespevirus,[140916],['Gompholobium'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Gompholobium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_033777.1,NC_033777.1,1950126.0,Clematis chlorotic mottle virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Pelarspovirus,[3452],['Clematis'],Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_034243.1,NC_034243.1,1817526.0,Ixeridium yellow mottle virus 2,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,[190260],['Ixeridium dentatum'],Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ixeridium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_034970.1,NC_034970.1,2006498.0,Peach associated luteovirus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,[3760],['Prunus persica'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_035452.1,NC_035452.1,2021212.0,Rice virus A,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Unclassified,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_038690.1,NC_038690.1,254711.0,Havel River virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,"[3885, 63459, 4072, 4097, 118703, 81866, 4100]","['Phaseolus vulgaris', 'Chenopodium quinoa', 'Capsicum annuum', 'Nicotiana tabacum', 'Nicotiana megalosiphon', 'Nicotiana clevelandii', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_038691.1,NC_038691.1,270257.0,Limonium flower distortion virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,[46093],['Limonium'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_038693.1,NC_038693.1,255521.0,Sitke waterborne virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,"[70371, 63459, 66262, 221775, 4076, 200313, 35889, 4100]","['Limonium sinuatum', 'Chenopodium quinoa', 'Chenopodium amaranticolor', 'Gomphrena globosa', 'Datura stramonium', 'Nicotiana occidentalis', 'Nicotiana glutinosa', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_038927.1,NC_038927.1,255520.0,Neckar River virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,"[63459, 221775, 4076, 4102, 4097, 81866, 4100]","['Chenopodium quinoa', 'Gomphrena globosa', 'Datura stramonium', 'Petunia x hybrida', 'Nicotiana tabacum', 'Nicotiana clevelandii', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_040549.1,NC_040549.1,2054409.0,Apple-associated luteovirus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Luteovirus,[3750],['Malus domestica'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_040575.1,NC_040575.1,2304516.0,Culex-associated Tombus-like virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Unclassified,"[2912049, 7157]","['Culex sp.', 'Culicidae']",Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Unclassified,Biota,Biota,Invertebrate,,Invertebrate
