,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
NC_003548.1,NC_003548.1,37126.0,Citrus leaf rugose virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,[2706],['Citrus'],Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003568.1,NC_003568.1,56486.0,Elm mottle virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,"[172265, 63459]","['Ulmus glabra', 'Chenopodium quinoa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003569.1,NC_003569.1,56486.0,Elm mottle virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,"[172265, 63459]","['Ulmus glabra', 'Chenopodium quinoa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003610.1,NC_003610.1,111970.0,Kyuri green mottle mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[3670, 3663, 3662, 3661, 3668, 3659, 260674, 4076, 4100]","['Luffa aegyptiaca', 'Cucurbita pepo', 'Cucurbita moschata', 'Cucurbita maxima', 'Lagenaria siceraria', 'Cucumis sativus', 'Citrullus lanatus subsp. vulgaris', 'Datura stramonium', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003617.1,NC_003617.1,31713.0,Lettuce infectious yellows virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Closteroviridae,Crinivirus,"[3663, 3662, 3661, 3656, 3654, 161934, 81866, 4236, 4039]","['Cucurbita pepo', 'Cucurbita moschata', 'Cucurbita maxima', 'Cucumis melo', 'Citrullus lanatus', 'Beta vulgaris', 'Nicotiana clevelandii', 'Lactuca sativa', 'Daucus carota']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003618.1,NC_003618.1,31713.0,Lettuce infectious yellows virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Closteroviridae,Crinivirus,"[3663, 3662, 3661, 3656, 3654, 161934, 81866, 4236, 4039]","['Cucurbita pepo', 'Cucurbita moschata', 'Cucurbita maxima', 'Cucumis melo', 'Citrullus lanatus', 'Beta vulgaris', 'Nicotiana clevelandii', 'Lactuca sativa', 'Daucus carota']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003630.1,NC_003630.1,12239.0,Pepper mild mottle virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[3906, 4072]","['Vicia faba', 'Capsicum annuum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003649.1,NC_003649.1,116056.0,Pelargonium zonate spot virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Anulavirus,"[4032, 3732, 4081, 35889, 59895, 118509]","['Pelargonium zonale', 'Diplotaxis erucoides', 'Solanum lycopersicum', 'Nicotiana glutinosa', 'Cynara cardunculus var. scolymus', 'Glebionis segetum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003650.1,NC_003650.1,116056.0,Pelargonium zonate spot virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Anulavirus,"[4032, 3732, 4081, 35889, 59895, 118509]","['Pelargonium zonale', 'Diplotaxis erucoides', 'Solanum lycopersicum', 'Nicotiana glutinosa', 'Cynara cardunculus var. scolymus', 'Glebionis segetum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003651.1,NC_003651.1,116056.0,Pelargonium zonate spot virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Anulavirus,"[4032, 3732, 4081, 35889, 59895, 118509]","['Pelargonium zonale', 'Diplotaxis erucoides', 'Solanum lycopersicum', 'Nicotiana glutinosa', 'Cynara cardunculus var. scolymus', 'Glebionis segetum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003669.1,NC_003669.1,31750.0,Pepper ringspot virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobravirus,"[13305, 82024, 39639, 97415, 3562, 161934, 13274, 4113, 4072, 4097]","['Tulipa', 'Hyacinthus', 'Narcissus pseudonarcissus', 'Viola arvensis', 'Spinacia oleracea', 'Beta vulgaris', 'Stellaria media', 'Solanum tuberosum', 'Capsicum annuum', 'Nicotiana tabacum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003670.1,NC_003670.1,31750.0,Pepper ringspot virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobravirus,"[13305, 82024, 39639, 97415, 3562, 161934, 13274, 4113, 4072, 4071, 4097]","['Tulipa', 'Hyacinthus', 'Narcissus pseudonarcissus', 'Viola arvensis', 'Spinacia oleracea', 'Beta vulgaris', 'Stellaria media', 'Solanum tuberosum', 'Capsicum annuum', 'Capsicum', 'Nicotiana tabacum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003671.1,NC_003671.1,33773.0,Olive latent virus 2,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Oleavirus,"[4100, 4145]","['Nicotiana benthamiana', 'Olea']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003672.1,NC_003672.1,28355.0,Peanut clump virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Pecluvirus,"[4555, 4558, 91525, 3818]","['Setaria italica', 'Sorghum bicolor', 'Sorghum arundinaceum', 'Arachis hypogaea']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003673.1,NC_003673.1,33773.0,Olive latent virus 2,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Oleavirus,"[4100, 4145]","['Nicotiana benthamiana', 'Olea']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003674.1,NC_003674.1,33773.0,Olive latent virus 2,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Oleavirus,"[4100, 4145]","['Nicotiana benthamiana', 'Olea']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
