,y|acc,y|virus taxid,y|virus name,y|len,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
HM210570.1,HM210570.1,254355,Small ruminant lentivirus,9090,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9925],['Capra hircus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
HQ154630.1,HQ154630.1,438045,Xenotropic MuLV-related virus,8176,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
HQ540591.1,HQ540591.1,194958,Porcine endogenous retrovirus A,9182,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
HQ540595.1,HQ540595.1,194959,Porcine endogenous retrovirus B,9480,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
J01998.1,J01998.1,11791,AKR (endogenous) murine leukemia virus,8374,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
JF908815.1,JF908815.1,11837,Xenotropic murine leukemia virus,8657,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
JN032736.1,JN032736.1,1077151,Dahlia common mosaic virus,7949,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,[101596],['Dahlia pinnata'],Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Dahlia,Biota,Biota,Viridiplantae,,Viridiplantae
JX245014.1,JX245014.1,12721,Human immunodeficiency virus,9157,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
KC802224.1,KC802224.1,11961,Lymphoproliferative disease virus,7432,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9103],['Meleagris gallopavo'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Biota,Biota,Chordata,Aves,Aves
KF029431.1,KF029431.1,1454033,Simian T-cell lymphotropic virus 4,8793,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,[9593],['Gorilla gorilla'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Gorilla,Biota,Biota,Chordata,Primates,Primates
KF313137.1,KF313137.1,1400257,Duck infectious anemia virus,8447,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[8839],['Anas platyrhynchos'],Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anas,Biota,Biota,Chordata,Aves,Aves
KP284572.1,KP284572.1,1401444,Avian leukosis virus ev/J,7581,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
M11841.1,M11841.1,11942,Simian retrovirus 1,8173,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9544],['Macaca mulatta'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Biota,Biota,Chordata,Primates,Primates
M14008.1,M14008.1,11870,Avian carcinoma Mill Hill virus 2,2630,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9091],['Coturnix coturnix'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Biota,Biota,Chordata,Aves,Aves
M23385.1,M23385.1,11857,Squirrel monkey retrovirus-H,8785,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9520],['Saimiri'],Metazoa,Chordata,Mammalia,Primates,Cebidae,Saimiri,Biota,Biota,Chordata,Primates,Primates
NC_000858.1,NC_000858.1,194440,Primate T-lymphotropic virus 1,9028,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,"[9443, 9534]","['Primates', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Unclassified,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_001343.1,NC_001343.1,10653,Commelina yellow mottle virus,7489,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[4743],['Commelina'],Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Commelina,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001362.1,NC_001362.1,11795,Friend murine leukemia virus,8323,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001364.1,NC_001364.1,11642,Simian foamy virus,13246,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Spumavirus,"[9598, 9606]","['Pan troglodytes', 'Homo sapiens']",Metazoa,Chordata,Mammalia,Primates,Hominidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_001403.1,NC_001403.1,11885,Fujinami sarcoma virus,4788,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_001407.1,NC_001407.1,11886,Rous sarcoma virus,9392,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_001413.1,NC_001413.1,11657,Bovine immunodeficiency virus,8482,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9913],['Bos taurus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001414.1,NC_001414.1,11901,Bovine leukemia virus,8419,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,[9913],['Bos taurus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001450.1,NC_001450.1,11665,Equine infectious anemia virus,8359,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,"[9796, 9793]","['Equus caballus', 'Equus asinus']",Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Biota,Biota,Chordata,Other Mammalia,Other Mammalia
NC_001452.1,NC_001452.1,2169971,Visna-maedi virus,9202,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001463.1,NC_001463.1,11660,Caprine arthritis encephalitis virus,9189,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9925],['Capra hircus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001482.1,NC_001482.1,11673,Feline immunodeficiency virus,9474,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,"[379583, 9681]","['Feliformia', 'Felidae']",Metazoa,Chordata,Mammalia,Carnivora,Unclassified,Unclassified,Biota,Biota,Chordata,Carnivora,Carnivora
NC_001494.1,NC_001494.1,11746,Jaagsiekte sheep retrovirus,7462,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001497.2,NC_001497.2,10641,Cauliflower mosaic virus,8024,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,"[3702, 3725, 3705]","['Arabidopsis thaliana', 'Raphanus', 'Brassica']",Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001499.1,NC_001499.1,11788,Abelson murine leukemia virus,5894,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001501.1,NC_001501.1,11801,Moloney murine leukemia virus,8332,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001502.1,NC_001502.1,11809,Moloney murine sarcoma virus,5833,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001503.1,NC_001503.1,11757,Mouse mammary tumor virus,8805,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001506.1,NC_001506.1,11830,Murine osteosarcoma virus,3811,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001511.1,NC_001511.1,11663,Ovine lentivirus,9256,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001549.1,NC_001549.1,11723,Simian immunodeficiency virus,9623,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,"[9598, 9534, 9527]","['Pan troglodytes', 'Chlorocebus aethiops', 'Cercopithecidae']",Metazoa,Chordata,Mammalia,Primates,Unclassified,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_001550.1,NC_001550.1,11855,Mason-Pfizer monkey virus,8557,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9544],['Macaca mulatta'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Biota,Biota,Chordata,Primates,Primates
NC_001574.1,NC_001574.1,31559,Cacao swollen shoot virus,7161,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[3641],['Theobroma cacao'],Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001618.1,NC_001618.1,354090,UR2 sarcoma virus,3166,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[8976],['Galliformes'],Metazoa,Chordata,Aves,Galliformes,Unclassified,Unclassified,Biota,Biota,Chordata,Aves,Aves
NC_001634.1,NC_001634.1,35593,Peanut chlorotic streak virus,8174,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Soymovirus,"[3818, 4097]","['Arachis hypogaea', 'Nicotiana tabacum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001648.1,NC_001648.1,38062,Cassava vein mosaic virus,8159,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Cavemovirus,[3983],['Manihot esculenta'],Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Manihot,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001654.1,NC_001654.1,36370,Jembrana disease virus,7732,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9906],['Bos javanicus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001722.1,NC_001722.1,11709,Human immunodeficiency virus 2,10359,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_001725.1,NC_001725.1,47903,Strawberry vein banding virus,7876,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,[3746],['Fragaria'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001739.2,NC_001739.2,10651,Soybean chlorotic mottle virus,8178,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Soymovirus,"[3917, 3885, 35936, 3847]","['Vigna unguiculata', 'Phaseolus vulgaris', 'Lablab purpureus', 'Glycine max']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001802.1,NC_001802.1,11676,Human immunodeficiency virus 1,9181,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_001815.1,NC_001815.1,33748,Simian T-lymphotropic virus 2,8855,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,[9597],['Pan paniscus'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan,Biota,Biota,Chordata,Primates,Primates
NC_001831.1,NC_001831.1,207343,Bovine foamy virus,12002,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Bovispumavirus,[9913],['Bos taurus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001839.2,NC_001839.2,59504,Petunia vein clearing virus,7206,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Petuvirus,"[4102, 4101]","['Petunia x hybrida', 'Petunia']",Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Petunia,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001885.3,NC_001885.3,11840,Gibbon ape leukemia virus,8088,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9577],['Hylobatidae'],Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_001914.1,NC_001914.1,10654,Rice tungro bacilliform virus,8002,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Tungrovirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001940.1,NC_001940.1,11768,Feline leukemia virus,8448,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9681],['Felidae'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Unclassified,Biota,Biota,Chordata,Carnivora,Carnivora
NC_003031.1,NC_003031.1,362398,Sugarcane bacilliform IM virus,7687,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,"[154766, 62334, 4547, 128810, 152679]","['Saccharum sinense', 'Saccharum robustum', 'Saccharum officinarum', 'Saccharum hybrid cultivar', 'Saccharum barberi']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Saccharum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003059.1,NC_003059.1,168238,Porcine endogenous retrovirus E,8072,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_003138.2,NC_003138.2,172220,Blueberry red ringspot virus,8303,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Soymovirus,[69266],['Vaccinium corymbosum'],Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003323.1,NC_003323.1,194443,Primate T-lymphotropic virus 3,8918,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,"[9443, 9530]","['Primates', 'Cercocebus torquatus']",Metazoa,Chordata,Mammalia,Primates,Unclassified,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_003378.1,NC_003378.1,107324,Tobacco vein clearing virus,7767,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Solendovirus,"[1926302, 35889, 4085]","['Nicotiana x edwardsonii', 'Nicotiana glutinosa', 'Nicotiana']",Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003381.1,NC_003381.1,328671,Banana streak OL virus,7389,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,"[89151, 4641, 4640]","['Musa x paradisiaca', 'Musa acuminata', 'Musa']",Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003382.1,NC_003382.1,174178,Citrus yellow mosaic virus,7559,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,"[2711, 37334, 171249, 43166]","['Citrus sinensis', 'Citrus maxima', 'Citrus limonia', 'Citrus aurantium']",Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003498.1,NC_003498.1,10640,Carnation etched ring virus,7932,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,[3570],['Dianthus caryophyllus'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003554.1,NC_003554.1,10649,Figwort mosaic virus,7743,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,[46031],['Scrophularia californica'],Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophularia,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004036.1,NC_004036.1,194445,Mirabilis mosaic virus,7857,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,[3537],['Mirabilis'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Mirabilis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004324.3,NC_004324.3,175814,Cestrum yellow leaf curling virus,8253,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Soymovirus,[142762],['Cestrum parqui'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Cestrum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004450.1,NC_004450.1,178354,Taro bacilliform virus,7458,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[4460],['Colocasia esculenta'],Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Colocasia,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004455.1,NC_004455.1,159122,Simian immunodeficiency virus SIV-mnd 2,9518,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9561],['Mandrillus sphinx'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus,Biota,Biota,Chordata,Primates,Primates
NC_004540.1,NC_004540.1,218387,Kalanchoe top-spotting virus,7591,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[45339],['Kalanchoe blossfeldiana'],Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,Biota,Biota,Viridiplantae,,Viridiplantae
NC_004994.2,NC_004994.2,239365,Enzootic nasal tumour virus of goats,7448,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9925],['Capra hircus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_005947.1,NC_005947.1,93465,Avian endogenous retrovirus EAV-HP,4302,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Unclassified,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_006955.1,NC_006955.1,1476909,Banana streak MY virus,7650,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[4640],['Musa'],Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_007002.1,NC_007002.1,328670,Banana streak GF virus,7263,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[214693],['Musa ABB Group'],Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_007003.1,NC_007003.1,1411991,Banana streak VN virus,7801,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,"[214693, 4641]","['Musa ABB Group', 'Musa acuminata']",Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_007015.1,NC_007015.1,69576,Ovine enzootic nasal tumor virus,7434,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_008017.1,NC_008017.1,362399,Sugarcane bacilliform MO virus,7568,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,"[4641, 4530]","['Musa acuminata', 'Oryza sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_008018.1,NC_008018.1,334778,Banana streak virus Acuminata Yunnan,7722,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[214697],['Musa acuminata AAA Group'],Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Biota,Biota,Viridiplantae,,Viridiplantae
